geoid20,countyfp20,namelsad20,statefp20,tractce20,intptlat20,name20,funcstat20,intptlon20,mtfcc20,aland20,awater20,objectid
25025130406,025,Census Tract,25,130406,+42.2600645,1304.06,S,-071.1514976,G5020,1052304,5879,65
25025130404,025,Census Tract,25,130404,+42.2665157,1304.04,S,-071.1559219,G5020,1601540,35273,66
25025010408,025,Census Tract,25,010408,+42.3431682,104.08,S,-071.0958461,G5020,43381,0,67
25025010701,025,Census Tract,25,010701,+42.3497199,107.01,S,-071.0838784,G5020,202021,0,68
25025110403,025,Census Tract,25,110403,+42.2791462,1104.03,S,-071.1281223,G5020,942866,7697,69
25025040801,025,Census Tract,25,040801,+42.3789064,408.01,S,-071.0518705,G5020,950452,755218,70
25025071201,025,Census Tract,25,071201,+42.3397875,712.01,S,-071.0670373,G5020,412277,0,71
25025120301,025,Census Tract,25,120301,+42.3126892,1203.01,S,-071.1019405,G5020,657613,0,72
25025120105,025,Census Tract,25,120105,+42.3087398,1201.05,S,-071.1262938,G5020,1839766,2474,73
25025140105,025,Census Tract,25,140105,+42.2680071,1401.05,S,-071.1251854,G5020,1009264,0,74
25025071101,025,Census Tract,25,071101,+42.3359523,711.01,S,-071.0727888,G5020,359031,0,75
25025000201,025,Census Tract,25,000201,+42.3540651,2.01,S,-071.1611678,G5020,599227,0,76
25025000202,025,Census Tract,25,000202,+42.3526051,2.02,S,-071.1543443,G5020,601636,0,77
25025000301,025,Census Tract,25,000301,+42.3541444,3.01,S,-071.1688200,G5020,571431,0,78
25025000302,025,Census Tract,25,000302,+42.3472585,3.02,S,-071.1676864,G5020,589979,46101,79
25025000401,025,Census Tract,25,000401,+42.3438495,4.01,S,-071.1492929,G5020,431042,0,80
25025000402,025,Census Tract,25,000402,+42.3441742,4.02,S,-071.1588288,G5020,806770,0,81
25025091300,025,Census Tract,25,091300,+42.3199357,913,S,-071.0668701,G5020,262560,0,82
25025110501,025,Census Tract,25,110501,+42.2821618,1105.01,S,-071.1414485,G5020,647837,0,83
25025030500,025,Census Tract,25,030500,+42.3675671,305,S,-071.0515811,G5020,191230,294934,84
25025010500,025,Census Tract,25,010500,+42.3444618,105,S,-071.0843482,G5020,193266,6725,85
25025040600,025,Census Tract,25,040600,+42.3832248,406,S,-071.0698352,G5020,1437083,413598,86
25025010205,025,Census Tract,25,010205,+42.3432726,102.05,S,-071.0994449,G5020,182773,0,87
25025110105,025,Census Tract,25,110105,+42.2988673,1101.05,S,-071.1114074,G5020,348074,0,88
25025061203,025,Census Tract,25,061203,+42.3416085,612.03,S,-071.0566283,G5020,352712,13894,89
25025070103,025,Census Tract,25,070103,+42.3478532,701.03,S,-071.0598082,G5020,107596,0,90
25025030302,025,Census Tract,25,030302,+42.3601404,303.02,S,-071.0577232,G5020,477388,0,91
25025070201,025,Census Tract,25,070201,+42.3500054,702.01,S,-071.0653769,G5020,144031,0,92
25025000806,025,Census Tract,25,000806,+42.3636765,8.06,S,-071.1264765,G5020,1417183,0,93
25025000102,025,Census Tract,25,000102,+42.3590809,1.02,S,-071.1439885,G5020,1067435,0,94
25025061201,025,Census Tract,25,061201,+42.3326075,612.01,S,-071.0576503,G5020,562013,0,95
25025020305,025,Census Tract,25,020305,+42.3667770,203.05,S,-071.0645674,G5020,297773,71961,96
25025020304,025,Census Tract,25,020304,+42.3640512,203.04,S,-071.0609927,G5020,145054,0,97
25025130101,025,Census Tract,25,130101,+42.2922825,1301.01,S,-071.1662440,G5020,2668262,2565,98
25025000505,025,Census Tract,25,000505,+42.3431835,5.05,S,-071.1411123,G5020,144386,0,99
25025000506,025,Census Tract,25,000506,+42.3401535,5.06,S,-071.1459005,G5020,188906,0,100
25025010206,025,Census Tract,25,010206,+42.3465040,102.06,S,-071.0942317,G5020,182280,1185,101
25025000604,025,Census Tract,25,000604,+42.3510440,6.04,S,-071.1397725,G5020,287064,0,102
25025030301,025,Census Tract,25,030301,+42.3599516,303.01,S,-071.0492086,G5020,154190,242405,103
25025000807,025,Census Tract,25,000807,+42.3524656,8.07,S,-071.1168882,G5020,218594,0,104
25025081101,025,Census Tract,25,081101,+42.3270449,811.01,S,-071.1124512,G5020,117783,0,105
25025070302,025,Census Tract,25,070302,+42.3499539,703.02,S,-071.0694197,G5020,193304,0,106
